data_timestamp;rr;sd;tp;vl;lf;hf;lf%;hf%;var;low_high_ratio;wl

20:35:49;741;142.8;3568;0;1245;1905;34.9;53.4;19663.6;65.4;187
20:36:07;796;64.8;1692;45;180;879;10.9;53.4;4118.3;20.5;375
20:36:45;798;29.8;649;235;184;193;44.4;46.6;879.1;95.3;750
20:38:00;794;43.1;1285;813;283;125;60;26.5;1848;226.4;1500
20:40:30;819;43.1;1887;1490;220;118;55.4;29.7;1852.6;186.4;3000
20:43:00;853;28.6;805;426;205;142;54.1;37.5;815.6;144.4;3000
20:45:30;866;23.3;367;116;119;105;47.4;41.8;541.3;113.3;3000
20:48:00;871;24.6;663;399;153;89;58;33.7;603.4;171.9;3000
20:50:30;884;24.6;435;236;64;112;32.2;56.3;603.4;57.1;3000
20:53:00;900;19.3;262;94;59;90;35.1;53.6;371.4;65.6;3000
20:55:30;900;25.1;407;207;45;128;22.5;64;628.1;35.2;3000
20:58:00;901;28.3;981;772;72;101;34.4;48.3;798.5;71.3;3000
21:00:30;897;32.7;1451;1208;148;69;60.9;28.4;1066.1;214.5;3000
21:03:00;903;29.8;322;202;27;77;22.5;64.2;885.4;35.1;3000
21:05:30;932;22.4;312;156;56;85;35.9;54.5;500.2;65.9;3000
21:08:00;950;15.6;201;91;20;73;18.2;66.4;242.6;27.4;3000
21:10:30;952;16.3;135;26;13;76;11.9;69.7;264.9;17.1;3000
21:13:00;946;19.6;497;339;41;97;25.9;61.4;383;42.3;3000
21:15:30;946;21.6;380;173;82;99;39.6;47.8;465.1;82.8;3000
21:18:00;943;26.5;402;205;73;99;37.1;50.3;700.1;73.7;3000
21:20:30;925;30.1;508;332;44;107;25;60.8;903.2;41.1;3000
21:23:00;904;34.1;667;372;207;70;70.2;23.7;1159.4;295.7;3000
21:25:30;896;46.9;3547;3166;228;101;59.8;26.5;2193.1;225.7;3000
21:28:00;912;39.9;1261;727;228;193;42.7;36.1;1587.2;118.1;3000
21:30:30;925;37.5;994;525;58;260;12.4;55.4;1401.9;22.3;3000
21:33:00;934;32.8;897;363;124;257;23.2;48.1;1072.5;48.2;3000
21:35:30;940;30.1;883;186;253;319;36.3;45.8;903.2;79.3;3000
21:38:00;938;26.8;459;39;52;282;12.4;67.1;716;18.4;3000
21:40:30;932;32.5;872;426;67;230;15;51.6;1053;29.1;3000
21:43:00;914;52.1;2319;1660;220;268;33.4;40.7;2706.2;82.1;3000
21:45:30;928;50.6;2213;1617;308;158;51.7;26.5;2552.5;194.9;3000
21:48:00;954;33.1;1139;693;116;206;26;46.2;1092.2;56.3;3000
21:50:30;962;25.5;481;73;46;245;11.3;60;648.2;18.8;3000
21:53:00;963;23.8;407;96;29;174;9.3;55.9;564.6;16.7;3000
21:55:30;963;23;402;92;20;171;6.5;55.2;527.3;11.7;3000
21:58:00;968;21;284;36;36;130;14.5;52.4;439.6;27.7;3000
22:00:30;973;21.5;403;80;89;143;27.6;44.3;460.8;62.2;3000
22:03:00;976;26.1;445;127;79;164;24.8;51.6;679;48.2;3000
22:05:30;965;41.6;819;412;214;133;52.6;32.7;1725;160.9;3000
22:08:00;938;44.5;2269;2064;75;69;36.6;33.7;1974.1;108.7;3000
22:10:30;935;46;3636;3160;315;109;66.2;22.9;2109.5;289;3000
22:13:00;957;32.2;520;354;135;23;81.3;13.9;1033.6;587;3000
22:15:30;947;23.5;659;565;78;10;83;10.6;550.5;780;3000
22:18:00;953;42.8;1808;1407;368;26;91.8;6.5;1826.1;1415.4;3000
22:20:30;986;42.2;1595;1050;492;39;90.3;7.2;1775;1261.5;3000
22:23:00;992;21.8;451;330;91;23;75.2;19;473.7;395.7;3000
22:25:30;986;21.6;592;488;66;26;63.5;25;465;253.8;3000
22:28:00;986;23;512;395;90;19;76.9;16.2;527.3;473.7;3000
22:30:30;978;24.1;341;212;99;20;76.7;15.5;578.9;495;3000
22:33:00;972;30.3;973;723;220;24;88;9.6;915.1;916.7;3000
22:35:30;972;46;3127;2653;325;83;68.6;17.5;2109.2;391.6;3000
22:38:00;979;36.2;998;558;328;71;74.5;16.1;1306.2;462;3000
22:40:30;991;33.3;1004;519;405;60;83.5;12.4;1105.3;675;3000
22:43:00;1005;30;910;476;316;84;72.8;19.4;897;376.2;3000
22:45:30;1013;27.5;629;331;205;73;68.8;24.5;753.7;280.8;3000
22:48:00;1017;25.4;519;211;219;72;71.1;23.4;643;304.2;3000
22:50:30;1016;25.8;708;457;152;80;60.6;31.9;663.4;190;3000
22:53:00;1021;25.3;549;178;244;94;65.8;25.3;637.9;259.6;3000
22:55:30;1018;23.6;412;95;186;106;58.7;33.4;555.1;175.5;3000
22:58:00;1008;25.9;496;130;202;140;55.2;38.3;668.6;144.3;3000
23:00:30;1009;35.5;1911;1368;417;84;76.8;15.5;1256;496.4;3000
23:03:00;1017;32.1;777;428;233;83;66.8;23.8;1026.9;280.7;3000
23:05:30;1005;32.6;1258;942;207;84;65.5;26.6;1059.2;246.4;3000
23:08:00;1006;28.5;585;291;163;106;55.4;36.1;809.6;153.8;3000
23:10:30;1001;47.8;1370;925;249;140;56;31.5;2277.3;177.9;3000
23:13:00;906;99.1;12167;11814;204;76;57.8;21.5;9791.3;268.4;3000
23:15:30;902;79.6;1895;1586;242;51;78.3;16.5;6317.2;474.5;3000
23:18:00;983;39;1399;1168;149;67;64.5;29;1516;222.4;3000
23:20:30;1020;32.2;681;467;143;56;66.8;26.2;1033.3;255.4;3000
23:23:00;1045;25;476;222;164;72;64.6;28.3;622.8;227.8;3000
23:25:30;1054;24.7;486;295;95;76;49.7;39.8;608;125;3000
23:28:00;1052;27.8;835;551;187;78;65.8;27.5;770.1;239.7;3000
23:30:30;1054;33.1;1038;666;269;84;72.3;22.6;1091.8;320.2;3000
23:33:00;1054;34.6;903;607;188;87;63.5;29.4;1193;216.1;3000
23:35:30;1049;35.8;1039;606;334;80;77.1;18.5;1277.2;417.5;3000
23:38:00;1044;40.8;1499;917;468;88;80.4;15.1;1658.9;531.8;3000
23:40:30;1020;69.5;1450;1083;282;70;76.8;19.1;4814;402.9;3000
23:43:00;987;75.7;8066;7697;270;65;73.2;17.6;5711.8;415.4;3000
23:45:30;1017;53.1;1465;934;398;98;75;18.5;2810.1;406.1;3000
23:48:00;1052;34.7;658;264;161;165;40.9;41.9;1199.9;97.6;3000
23:50:30;1048;35.1;1418;1013;310;51;76.5;12.6;1227.7;607.8;3000
23:53:00;1054;33.8;1059;655;274;96;67.8;23.8;1138.4;285.4;3000
23:55:30;1067;25.8;584;301;227;42;80.2;14.8;663.3;540.5;3000
23:58:00;1063;32.5;683;463;182;31;82.7;14.1;1052.5;587.1;3000
