Date Time;ACT;Angle;Spin 
2018-06-27 20:35:49;19;12;14
2018-06-27 20:35:59;26.38;12;12
2018-06-27 20:36:07;13.81;12;12
2018-06-27 20:36:17;8.81;12;13
2018-06-27 20:36:27;41.31;15;13
2018-06-27 20:36:45;4.62;0;13
2018-06-27 20:36:55;11.5;0;13
2018-06-27 20:37:05;47.5;0;13
2018-06-27 20:37:15;47.56;14;2
2018-06-27 20:37:25;23.25;10;12
2018-06-27 20:37:35;15.81;12;15
2018-06-27 20:37:45;18.75;11;14
2018-06-27 20:37:55;13.44;11;13
2018-06-27 20:38:00;4.69;12;14
2018-06-27 20:38:10;3.25;12;14
2018-06-27 20:38:20;6.31;12;15
2018-06-27 20:38:30;9.06;10;11
2018-06-27 20:38:40;16.75;11;11
2018-06-27 20:38:50;14.38;12;14
2018-06-27 20:39:00;11;12;15
2018-06-27 20:39:10;8.5;12;15
2018-06-27 20:39:20;8.94;12;15
2018-06-27 20:39:30;7.19;12;15
2018-06-27 20:39:40;12.94;12;0
2018-06-27 20:39:50;12.25;12;15
2018-06-27 20:40:00;8.62;11;13
2018-06-27 20:40:10;13.06;11;13
2018-06-27 20:40:20;12.88;12;14
2018-06-27 20:40:30;5.81;12;14
2018-06-27 20:40:40;3.19;12;14
2018-06-27 20:40:50;4.31;12;15
2018-06-27 20:41:00;7;12;15
2018-06-27 20:41:10;5.56;12;15
2018-06-27 20:41:20;2.06;11;15
2018-06-27 20:41:30;4.75;11;15
2018-06-27 20:41:40;6.44;12;15
2018-06-27 20:41:50;5.5;12;15
2018-06-27 20:42:00;3.75;12;15
2018-06-27 20:42:10;5;12;15
2018-06-27 20:42:20;6.19;12;15
2018-06-27 20:42:30;5.56;12;15
2018-06-27 20:42:40;5.5;12;15
2018-06-27 20:42:50;3.69;12;15
2018-06-27 20:43:00;3.44;12;15
2018-06-27 20:43:10;2.06;12;0
2018-06-27 20:43:20;2.25;12;15
2018-06-27 20:43:30;2;12;0
2018-06-27 20:43:40;2.94;12;15
2018-06-27 20:43:50;3.44;12;15
2018-06-27 20:44:00;3.94;12;15
2018-06-27 20:44:10;2.5;12;0
2018-06-27 20:44:20;2.88;12;0
2018-06-27 20:44:30;2.94;12;0
2018-06-27 20:44:40;2.06;12;0
2018-06-27 20:44:50;1.94;12;0
2018-06-27 20:45:00;2;12;0
2018-06-27 20:45:10;2.31;12;0
2018-06-27 20:45:20;3;12;0
2018-06-27 20:45:30;7.56;12;0
2018-06-27 20:45:40;10.06;12;14
2018-06-27 20:45:50;3.81;12;14
2018-06-27 20:46:00;3.12;12;14
2018-06-27 20:46:10;5.5;12;14
2018-06-27 20:46:20;2.56;11;14
2018-06-27 20:46:30;2.12;11;14
2018-06-27 20:46:40;2.19;11;14
2018-06-27 20:46:50;2.12;11;14
2018-06-27 20:47:00;2.19;11;14
2018-06-27 20:47:10;2.25;11;14
2018-06-27 20:47:20;2.38;11;14
2018-06-27 20:47:30;7.5;12;15
2018-06-27 20:47:40;3.25;12;14
2018-06-27 20:47:50;4.25;12;14
2018-06-27 20:48:00;2.56;12;14
2018-06-27 20:48:10;2.69;12;14
2018-06-27 20:48:20;2.56;12;14
2018-06-27 20:48:30;3.44;12;14
2018-06-27 20:48:40;2.81;12;14
2018-06-27 20:48:50;2.5;12;14
2018-06-27 20:49:00;2.38;12;14
2018-06-27 20:49:10;2.56;12;14
2018-06-27 20:49:20;3.62;12;14
2018-06-27 20:49:30;4.25;12;15
2018-06-27 20:49:40;3.94;12;15
2018-06-27 20:49:50;1.62;12;15
2018-06-27 20:50:00;1.5;12;15
2018-06-27 20:50:10;1.56;12;15
2018-06-27 20:50:20;1.69;12;15
2018-06-27 20:50:30;1.5;12;15
2018-06-27 20:50:40;1.62;12;15
2018-06-27 20:50:50;1.62;12;15
2018-06-27 20:51:00;1.81;12;15
2018-06-27 20:51:10;1.75;12;15
2018-06-27 20:51:20;1.69;12;15
2018-06-27 20:51:30;1.62;12;15
2018-06-27 20:51:40;1.56;12;15
2018-06-27 20:51:50;1.69;12;15
2018-06-27 20:52:00;1.62;12;15
2018-06-27 20:52:10;1.62;12;15
2018-06-27 20:52:20;1.81;12;15
2018-06-27 20:52:30;1.56;12;15
2018-06-27 20:52:40;1.69;12;15
2018-06-27 20:52:50;1.69;12;15
2018-06-27 20:53:00;1.69;12;15
2018-06-27 20:53:10;1.62;12;15
2018-06-27 20:53:20;1.62;12;15
2018-06-27 20:53:30;1.56;12;15
2018-06-27 20:53:40;1.75;12;15
2018-06-27 20:53:50;1.75;12;15
2018-06-27 20:54:00;1.62;12;15
2018-06-27 20:54:10;14.19;12;15
2018-06-27 20:54:20;24.88;12;0
2018-06-27 20:54:30;9.75;12;1
2018-06-27 20:54:40;13.44;12;15
2018-06-27 20:54:50;6.5;12;0
2018-06-27 20:55:00;7.56;12;15
2018-06-27 20:55:10;6.56;12;14
2018-06-27 20:55:20;6.75;12;14
2018-06-27 20:55:30;9.06;12;0
2018-06-27 20:55:40;2.19;12;1
2018-06-27 20:55:50;2;12;1
2018-06-27 20:56:00;2.12;12;1
2018-06-27 20:56:10;2.25;12;1
2018-06-27 20:56:20;2.12;12;1
2018-06-27 20:56:30;2.06;12;1
2018-06-27 20:56:40;2.12;12;1
2018-06-27 20:56:50;2.12;12;1
2018-06-27 20:57:00;2;12;1
2018-06-27 20:57:10;2.44;12;1
2018-06-27 20:57:20;2.31;12;1
2018-06-27 20:57:30;2.06;12;1
2018-06-27 20:57:40;1.88;12;1
2018-06-27 20:57:50;2.38;12;1
2018-06-27 20:58:00;2.06;12;1
2018-06-27 20:58:10;5.69;12;1
2018-06-27 20:58:20;13.06;12;1
2018-06-27 20:58:30;4.88;12;2
2018-06-27 20:58:40;4.12;12;2
2018-06-27 20:58:50;2.69;12;2
2018-06-27 20:59:00;1.94;12;2
2018-06-27 20:59:10;1.75;12;2
2018-06-27 20:59:20;3.12;12;2
2018-06-27 20:59:30;1.88;12;2
2018-06-27 20:59:40;2;12;2
2018-06-27 20:59:50;1.94;12;2
2018-06-27 21:00:00;1.88;12;2
2018-06-27 21:00:10;1.81;12;2
2018-06-27 21:00:20;1.62;12;2
2018-06-27 21:00:30;1.81;12;2
2018-06-27 21:00:40;1.69;12;2
2018-06-27 21:00:50;1.81;12;2
2018-06-27 21:01:00;1.75;12;2
2018-06-27 21:01:10;1.81;12;2
2018-06-27 21:01:20;1.88;12;2
2018-06-27 21:01:30;1.88;12;2
2018-06-27 21:01:40;1.81;12;2
2018-06-27 21:01:50;1.94;12;2
2018-06-27 21:02:00;1.88;12;2
2018-06-27 21:02:10;1.88;12;2
2018-06-27 21:02:20;1.81;12;2
2018-06-27 21:02:30;1.81;12;2
2018-06-27 21:02:40;2.06;12;2
2018-06-27 21:02:50;1.94;12;2
2018-06-27 21:03:00;2.06;12;2
2018-06-27 21:03:10;2;12;2
2018-06-27 21:03:20;2;12;2
2018-06-27 21:03:30;1.88;12;2
2018-06-27 21:03:40;2.06;12;2
2018-06-27 21:03:50;2.12;12;2
2018-06-27 21:04:00;2.06;12;2
2018-06-27 21:04:10;2;12;2
2018-06-27 21:04:20;2.06;12;2
2018-06-27 21:04:30;2.06;12;2
2018-06-27 21:04:40;1.94;12;2
2018-06-27 21:04:50;2.12;12;2
2018-06-27 21:05:00;2.19;12;2
2018-06-27 21:05:10;2;12;2
2018-06-27 21:05:20;1.88;12;2
2018-06-27 21:05:30;2.06;12;2
2018-06-27 21:05:40;2.06;12;2
2018-06-27 21:05:50;2.06;12;2
2018-06-27 21:06:00;1.94;12;2
2018-06-27 21:06:10;2;12;2
2018-06-27 21:06:20;2;12;2
2018-06-27 21:06:30;1.94;12;2
2018-06-27 21:06:40;2.12;12;2
2018-06-27 21:06:50;1.94;12;2
2018-06-27 21:07:00;1.88;12;2
2018-06-27 21:07:10;2;12;2
2018-06-27 21:07:20;2.12;12;2
2018-06-27 21:07:30;1.94;12;2
2018-06-27 21:07:40;2;12;2
2018-06-27 21:07:50;2;12;2
2018-06-27 21:08:00;2.06;12;2
2018-06-27 21:08:10;2.06;12;2
2018-06-27 21:08:20;2.06;12;2
2018-06-27 21:08:30;2;12;2
2018-06-27 21:08:40;1.94;12;2
2018-06-27 21:08:50;2.06;12;2
2018-06-27 21:09:00;2;12;2
2018-06-27 21:09:10;2.06;12;2
2018-06-27 21:09:20;1.94;12;2
2018-06-27 21:09:30;2.06;12;2
2018-06-27 21:09:40;2.12;12;2
2018-06-27 21:09:50;2;12;2
2018-06-27 21:10:00;2;12;2
2018-06-27 21:10:10;8.38;12;2
2018-06-27 21:10:20;7.81;12;1
2018-06-27 21:10:30;2.81;12;1
2018-06-27 21:10:40;2.19;12;1
2018-06-27 21:10:50;2.25;12;1
2018-06-27 21:11:00;2.38;12;1
2018-06-27 21:11:10;2.31;12;1
2018-06-27 21:11:20;2.25;12;1
2018-06-27 21:11:30;2.12;12;1
2018-06-27 21:11:40;2.25;12;2
2018-06-27 21:11:50;2.19;12;2
2018-06-27 21:12:00;2.19;12;2
2018-06-27 21:12:10;2;12;2
2018-06-27 21:12:20;2.12;12;2
2018-06-27 21:12:30;2.19;12;2
2018-06-27 21:12:40;2.19;12;2
2018-06-27 21:12:50;2;12;2
2018-06-27 21:13:00;1.94;12;2
2018-06-27 21:13:10;2.31;12;2
2018-06-27 21:13:20;1.94;12;2
2018-06-27 21:13:30;1.94;12;2
2018-06-27 21:13:40;1.88;12;2
2018-06-27 21:13:50;1.94;12;2
2018-06-27 21:14:00;1.81;12;2
2018-06-27 21:14:10;1.81;12;2
2018-06-27 21:14:20;1.81;12;2
2018-06-27 21:14:30;2.81;12;2
2018-06-27 21:14:40;1.69;12;2
2018-06-27 21:14:50;1.81;12;2
2018-06-27 21:15:00;1.88;12;2
2018-06-27 21:15:10;1.69;12;2
2018-06-27 21:15:20;1.81;12;2
2018-06-27 21:15:30;1.81;12;2
2018-06-27 21:15:40;1.88;12;2
2018-06-27 21:15:50;1.88;12;2
2018-06-27 21:16:00;1.81;12;2
2018-06-27 21:16:10;1.81;12;2
2018-06-27 21:16:20;1.88;12;2
2018-06-27 21:16:30;1.81;12;2
2018-06-27 21:16:40;1.81;12;2
2018-06-27 21:16:50;2;12;2
2018-06-27 21:17:00;2;12;2
2018-06-27 21:17:10;1.94;12;2
2018-06-27 21:17:20;2.06;12;2
2018-06-27 21:17:30;2.06;12;2
2018-06-27 21:17:40;2;12;2
2018-06-27 21:17:50;2;12;2
2018-06-27 21:18:00;2.12;12;2
2018-06-27 21:18:10;1.94;12;2
2018-06-27 21:18:20;2.06;12;2
2018-06-27 21:18:30;1.88;12;2
2018-06-27 21:18:40;2.19;12;2
2018-06-27 21:18:50;2.06;12;2
2018-06-27 21:19:00;2.06;12;2
2018-06-27 21:19:10;2.62;12;2
2018-06-27 21:19:20;2.75;12;2
2018-06-27 21:19:30;2.06;12;2
2018-06-27 21:19:40;2.31;12;2
2018-06-27 21:19:50;3.5;12;2
2018-06-27 21:20:00;1.81;12;2
2018-06-27 21:20:10;3.12;12;2
2018-06-27 21:20:20;1.94;12;2
2018-06-27 21:20:30;2;12;2
2018-06-27 21:20:40;2.06;12;2
2018-06-27 21:20:50;1.88;12;2
2018-06-27 21:21:00;2;12;2
2018-06-27 21:21:10;2.06;12;2
2018-06-27 21:21:20;2;12;2
2018-06-27 21:21:30;1.94;12;2
2018-06-27 21:21:40;2.12;12;2
2018-06-27 21:21:50;6.62;12;1
2018-06-27 21:22:00;4.38;12;15
2018-06-27 21:22:10;7.12;11;14
2018-06-27 21:22:20;4.12;11;14
2018-06-27 21:22:30;4;11;14
2018-06-27 21:22:40;31.56;11;13
2018-06-27 21:22:50;16.69;9;10
2018-06-27 21:23:00;2.56;8;10
2018-06-27 21:23:10;2;8;10
2018-06-27 21:23:20;7.31;8;10
2018-06-27 21:23:30;1.94;8;10
2018-06-27 21:23:40;2.81;8;10
