data_timestamp;rr;sd;tp;vl;lf;hf;lf%;hf%;var;low_high_ratio;wl
02:53:00;1053;26.8;622;405;113;84;52.1;38.7;715.7;134.5;3000
02:55:30;1048;25.5;439;305;56;64;41.8;47.8;648;87.5;3000
02:58:00;1048;23.9;424;297;33;76;26;59.8;569.2;43.4;3000
03:00:30;1059;25.9;594;385;106;85;50.7;40.7;668.5;124.7;3000
03:03:00;1065;22.3;476;253;131;75;58.7;33.6;495.5;174.7;3000
03:05:30;1066;23.8;504;295;126;65;60.3;31.1;564.4;193.8;3000
03:08:00;1071;25.5;605;383;136;69;61.3;31.1;647.9;197.1;3000
03:10:30;1073;22.2;427;233;108;69;55.7;35.6;491.1;156.5;3000
03:13:00;1070;21;426;180;176;59;71.5;24;439.4;298.3;3000
03:15:30;1077;20.5;282;130;69;65;45.4;42.8;418.7;106.2;3000
03:18:00;1078;20.2;376;211;86;64;52.1;38.8;406.6;134.4;3000
03:20:30;1074;20.9;288;67;116;83;52.5;37.6;435.2;139.8;3000
03:23:00;1083;24.3;485;243;102;110;42.1;45.5;588.4;92.7;3000
03:25:30;1085;22.7;359;159;113;67;56.5;33.5;513.4;168.7;3000
03:28:00;1087;21.5;356;133;132;73;59.2;32.7;460.6;180.8;3000
03:30:30;1090;21.5;331;152;104;61;58.1;34.1;460.6;170.5;3000
03:33:00;1086;22.3;368;174;109;68;56.2;35.1;495.5;160.3;3000
03:35:30;1088;25.3;865;495;292;64;78.9;17.3;637.8;456.3;3000
03:38:00;1094;24.5;330;147;108;60;59;32.8;598.1;180;3000
03:40:30;1096;26.3;939;610;243;69;73.9;21;689.2;352.2;3000
03:43:00;1032;89.1;6781;6482;195;77;65.2;25.8;7911.6;253.2;3000
03:45:30;991;70.4;2168;1769;300;69;75.2;17.3;4939.9;434.8;3000
03:48:00;1020;43.3;1672;1112;281;200;50.2;35.7;1868.6;140.5;3000
03:50:30;1049;37.1;1099;783;82;166;25.9;52.5;1371.6;49.4;3000
03:53:00;1069;28.6;799;519;108;104;38.6;37.1;815.1;103.8;3000
03:55:30;1075;23.8;400;208;38;120;19.8;62.5;564.4;31.7;3000
03:58:00;1073;23.2;370;144;40;151;17.7;66.8;536.3;26.5;3000
04:00:30;1072;21.1;348;95;95;118;37.5;46.6;443.6;80.5;3000
04:03:00;1068;19.4;255;51;40;134;19.6;65.7;375;29.9;3000
04:05:30;1066;20;337;148;25;130;13.2;68.8;398.6;19.2;3000
04:08:00;1065;21.6;322;123;29;132;14.6;66.3;464.9;22;3000
04:10:30;1066;21.7;419;211;39;134;18.8;64.4;469.2;29.1;3000
04:13:00;1067;22.6;659;497;34;98;21;60.5;509;34.7;3000
04:15:30;1074;25.3;624;421;73;108;36;53.2;637.8;67.6;3000
04:18:00;1077;23.5;402;238;59;86;36;52.4;550.3;68.6;3000
04:20:30;1071;20;328;155;45;104;26;60.1;398.6;43.3;3000
04:23:00;1077;19.8;285;127;24;112;15.2;70.9;390.6;21.4;3000
04:25:30;1077;22.3;391;211;55;103;30.6;57.2;495.5;53.4;3000
04:28:00;1077;20.5;377;230;24;104;16.3;70.7;418.8;23.1;3000
04:30:30;1050;40;3577;3216;201;123;55.7;34.1;1594.5;163.4;3000
04:33:00;1045;37.9;1090;774;219;75;69.3;23.7;1431.5;292;3000
04:35:30;1051;37.8;1173;835;224;97;66.3;28.7;1423.9;230.9;3000
04:38:00;1013;49;1686;1273;339;59;82.1;14.3;2392.9;574.6;3000
04:40:30;1008;52.6;5669;5230;345;71;78.6;16.2;2757.6;485.9;3000
04:43:00;1012;38.6;672;565;23;70;21.5;65.4;1485;32.9;3000
04:45:30;984;20.8;314;239;25;39;33.3;52;431.2;64.1;3000
04:48:00;998;34.7;1333;993;265;62;77.9;18.2;1200.1;427.4;3000
04:50:30;1025;18.5;219;120;32;54;32.3;54.5;341.1;59.3;3000
04:53:00;1028;25.5;1424;1214;138;55;65.7;26.2;648.1;250.9;3000
04:55:30;1024;39.8;1244;1043;108;77;53.7;38.3;1578.7;140.3;3000
04:58:00;1021;47.1;2289;1994;223;60;75.6;20.3;2211;371.7;3000
